# Samples,  Aspect Ratio,  Area,  Rect Area, Extent,  Solidity,  H0,  H1, H2, H3, H4, Goal
46.00000,0.78519,0.03290,0.41924,0.07848,0.16849,0.01159,0.07051,0.16472,0.51981,0.23337,1.00000
47.00000,0.35404,0.01049,0.02987,0.35131,0.78769,0.00000,0.00131,0.00294,0.03138,0.96437,0.00000
48.00000,1.01587,0.00576,0.01312,0.43924,0.93728,0.00000,0.00000,0.00000,0.08259,0.91741,0.00000
49.00000,0.24503,0.00509,0.01819,0.27967,0.65322,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000
50.00000,0.32500,0.00309,0.00677,0.45601,0.84537,0.00000,0.00000,0.01298,0.05577,0.93125,0.00000
51.00000,1.17342,0.07497,0.75301,0.09957,0.12581,0.00273,0.04856,0.06266,0.61879,0.26727,1.00000
52.00000,1.61111,0.01348,0.02719,0.49569,0.79707,0.00000,0.00000,0.00000,0.04274,0.95726,0.00000
53.00000,1.26866,0.00799,0.01854,0.43082,0.69504,0.00246,0.06708,0.09219,0.11905,0.71923,0.00000
54.00000,0.12222,0.00772,0.01289,0.59912,0.79374,0.00000,0.00000,0.00000,0.03763,0.96237,0.00000
55.00000,2.40476,0.00608,0.01381,0.44059,0.81866,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000
56.00000,1.30504,0.11644,0.60379,0.19285,0.36861,0.00081,0.02823,0.06002,0.52889,0.38206,1.00000
57.00000,1.81481,0.00236,0.00431,0.54686,0.82356,0.00000,0.00000,0.01134,0.14437,0.84429,0.00000
58.00000,0.96875,0.00086,0.00323,0.26512,0.46262,0.00000,0.00000,0.01008,0.45060,0.53931,0.00000
59.00000,1.60000,0.00076,0.00208,0.36641,0.68367,0.00000,0.01719,0.16719,0.10781,0.70781,0.00000
60.00000,0.44444,0.00068,0.00105,0.64352,0.93289,0.00000,0.00000,0.01543,0.13580,0.84877,0.00000
61.00000,0.36236,0.08533,0.14949,0.57079,0.76163,0.00000,0.01152,0.06369,0.13788,0.78691,0.00000
62.00000,1.05479,0.05816,0.65871,0.08830,0.13672,0.00122,0.04410,0.08624,0.49705,0.37139,1.00000
63.00000,2.70769,0.02815,0.03724,0.75599,0.92701,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000
64.00000,1.12745,0.01879,0.03818,0.49207,0.79085,0.00000,0.03529,0.10622,0.10887,0.74962,0.00000
65.00000,1.33654,0.01779,0.04706,0.37801,0.65865,0.00000,0.00000,0.00000,0.02753,0.97247,0.00000
66.00000,0.62500,0.26799,0.46875,0.57170,0.73625,0.00000,0.02009,0.05153,0.08539,0.84299,0.00000
67.00000,0.38320,0.08497,0.18107,0.46928,0.74230,0.00000,0.03117,0.06995,0.15829,0.74059,0.00000
68.00000,0.65525,0.03125,0.40920,0.07636,0.19106,0.00146,0.04406,0.08212,0.64174,0.23063,1.00000
69.00000,0.19767,0.00311,0.00476,0.65287,0.89206,0.00000,0.03420,0.10465,0.10739,0.75376,0.00000
70.00000,1.12500,0.00055,0.00094,0.58507,0.94398,0.00000,0.00000,0.00000,0.01042,0.98958,0.00000
71.00000,0.46667,0.22423,0.35000,0.64066,0.75201,0.00000,0.02840,0.06565,0.10283,0.80312,0.00000
72.00000,0.35864,0.08115,0.17036,0.47637,0.75773,0.00000,0.03718,0.07945,0.16951,0.71386,0.00000
73.00000,0.66744,0.03098,0.40735,0.07606,0.18894,0.00130,0.04287,0.08249,0.62101,0.25233,1.00000
74.00000,0.18627,0.00337,0.00631,0.53406,0.86611,0.00000,0.12229,0.13467,0.11197,0.63106,0.00000
75.00000,1.21429,0.00050,0.00077,0.64076,0.95016,0.00000,0.00000,0.00000,0.06723,0.93277,0.00000
76.00000,1.13548,0.07944,0.79922,0.09939,0.12848,0.00241,0.04623,0.07687,0.49041,0.38409,1.00000
77.00000,1.83824,0.01403,0.02767,0.50694,0.83605,0.00000,0.00000,0.00000,0.00353,0.99647,0.00000
78.00000,1.14607,0.01384,0.02955,0.46844,0.77771,0.00000,0.03547,0.10520,0.11456,0.74477,0.00000
79.00000,1.70833,0.00151,0.00320,0.47104,0.75859,0.00000,0.00000,0.00000,0.07317,0.92683,0.00000
80.00000,1.76471,0.00062,0.00166,0.37549,0.61774,0.00000,0.00000,0.06863,0.20196,0.72941,0.00000
81.00000,0.90431,0.07277,0.51434,0.14147,0.27055,0.00111,0.03928,0.08114,0.50317,0.37529,1.00000
82.00000,1.28431,0.01629,0.04350,0.37461,0.63939,0.00000,0.00000,0.00000,0.00337,0.99663,0.00000
83.00000,1.75000,0.00182,0.00328,0.55407,0.84366,0.00000,0.00000,0.00000,0.07044,0.92956,0.00000
84.00000,0.20968,0.00084,0.00262,0.32010,0.56209,0.00000,0.03474,0.11911,0.29032,0.55583,0.00000
85.00000,0.90323,0.00068,0.00283,0.24194,0.40698,0.00000,0.00000,0.00461,0.32258,0.67281,0.00000
86.00000,0.21656,0.08569,0.15639,0.54795,0.70347,0.00000,0.00090,0.00685,0.04715,0.94511,0.00000
87.00000,0.67290,0.07166,0.40125,0.17859,0.28766,0.00135,0.03720,0.06910,0.40180,0.49055,1.00000
88.00000,1.98571,0.01693,0.03167,0.53448,0.83401,0.00000,0.00000,0.00000,0.01151,0.98849,0.00000
89.00000,0.15768,0.01183,0.02981,0.39692,0.64824,0.00000,0.00000,0.00000,0.02435,0.97565,0.00000
90.00000,1.66667,0.00199,0.00396,0.50247,0.82668,0.00000,0.00000,0.00000,0.12593,0.87407,0.00000
91.00000,0.41119,0.17058,0.22610,0.75444,0.81619,0.00000,0.02083,0.04846,0.07302,0.85769,0.00000
92.00000,0.23269,0.06764,0.09871,0.68522,0.88733,0.00000,0.00445,0.02915,0.07295,0.89345,0.00000
93.00000,0.71776,0.02828,0.39468,0.07166,0.17630,0.00160,0.03946,0.08730,0.62890,0.24274,1.00000
94.00000,0.26733,0.00603,0.00888,0.67913,0.88044,0.00000,0.00000,0.00440,0.17492,0.82068,0.00000
95.00000,0.13725,0.00332,0.00465,0.71429,0.88850,0.00000,0.00000,0.03011,0.10784,0.86204,0.00000
96.00000,1.14223,0.08169,0.77654,0.10519,0.12869,0.00224,0.04338,0.08685,0.46980,0.39773,1.00000
97.00000,1.80882,0.01401,0.02723,0.51459,0.82083,0.00000,0.00000,0.00000,0.00801,0.99199,0.00000
98.00000,1.05435,0.01380,0.02905,0.47496,0.77437,0.00000,0.03440,0.12394,0.12057,0.72109,0.00000
99.00000,1.53333,0.00200,0.00449,0.44493,0.80577,0.00000,0.00000,0.00000,0.13913,0.86087,0.00000
100.00000,1.93750,0.00068,0.00161,0.42238,0.68464,0.00000,0.00000,0.01815,0.25403,0.72782,0.00000
101.00000,1.12708,0.07522,0.84531,0.08899,0.12824,0.00258,0.04393,0.10441,0.46872,0.38036,1.00000
102.00000,1.24706,0.01528,0.02933,0.52087,0.79569,0.00000,0.02408,0.09179,0.11321,0.77092,0.00000
103.00000,1.28713,0.01516,0.04274,0.35468,0.64062,0.00000,0.00000,0.00000,0.01782,0.98218,0.00000
104.00000,1.79167,0.00178,0.00336,0.52907,0.79941,0.00000,0.00000,0.00000,0.05136,0.94864,0.00000
105.00000,0.71429,0.00090,0.00182,0.49107,0.72559,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000
106.00000,1.21429,0.07462,0.74452,0.10023,0.13176,0.00171,0.04123,0.07757,0.48124,0.39826,1.00000
107.00000,1.27723,0.01549,0.04241,0.36515,0.64543,0.00000,0.00000,0.00000,0.00384,0.99616,0.00000
108.00000,1.25581,0.01518,0.03023,0.50194,0.77249,0.00000,0.03219,0.10336,0.11090,0.75355,0.00000
109.00000,1.58333,0.00160,0.00297,0.53728,0.85143,0.00000,0.00000,0.00000,0.06140,0.93860,0.00000
110.00000,2.00000,0.00067,0.00188,0.35381,0.68395,0.00000,0.00346,0.16090,0.10900,0.72664,0.00000
111.00000,0.99022,0.09393,0.53921,0.17420,0.34372,0.00093,0.03395,0.07089,0.51017,0.38407,1.00000
112.00000,1.80000,0.00198,0.00366,0.54044,0.84680,0.00000,0.00000,0.00000,0.05244,0.94756,0.00000
113.00000,1.20000,0.00102,0.00352,0.28935,0.51910,0.00000,0.00741,0.16481,0.21574,0.61204,0.00000
114.00000,0.44118,0.00089,0.00166,0.53333,0.90066,0.00000,0.03529,0.03529,0.18431,0.74510,0.00000
115.00000,1.00000,0.00067,0.00293,0.22778,0.40474,0.00000,0.00000,0.00222,0.35889,0.63889,0.00000
116.00000,1.13647,0.09822,0.73918,0.13288,0.19051,0.00203,0.04288,0.09758,0.47287,0.38464,1.00000
117.00000,1.78378,0.00374,0.00795,0.47052,0.72722,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000
118.00000,1.87500,0.00181,0.00352,0.51435,0.80333,0.00000,0.00000,0.00000,0.05648,0.94352,0.00000
119.00000,0.35135,0.00084,0.00157,0.53950,0.77928,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000
120.00000,1.73684,0.00059,0.00204,0.28788,0.63112,0.00000,0.01116,0.16746,0.08612,0.73525,0.00000
121.00000,0.35579,0.15261,0.26131,0.58402,0.67705,0.00000,0.04057,0.06858,0.08309,0.80776,0.00000
122.00000,0.39535,0.06576,0.15229,0.43181,0.86070,0.00000,0.04771,0.08909,0.13233,0.73087,0.00000
123.00000,0.64846,0.02528,0.37413,0.06757,0.16930,0.00052,0.03903,0.07273,0.54647,0.34124,1.00000
124.00000,1.03125,0.00847,0.01375,0.61589,0.92696,0.00000,0.00000,0.00000,0.08499,0.91501,0.00000
125.00000,0.27835,0.00320,0.00853,0.37495,0.85727,0.00000,0.23368,0.16342,0.13555,0.46735,0.00000
126.00000,1.01392,0.08700,0.61311,0.14191,0.26239,0.01516,0.06458,0.12841,0.45020,0.34165,1.00000
127.00000,0.26087,0.01964,0.02875,0.68303,0.88492,0.01189,0.05061,0.02049,0.15636,0.76064,0.00000
128.00000,7.50000,0.00296,0.00479,0.61837,0.83663,0.00000,0.00000,0.01361,0.05578,0.93061,0.00000
129.00000,0.22973,0.00262,0.00410,0.64070,0.79370,0.00000,0.00079,0.03339,0.15501,0.81081,0.00000
130.00000,3.00000,0.00084,0.00141,0.59606,0.80469,0.00000,0.00463,0.07407,0.08565,0.83565,0.00000
131.00000,1.40179,0.10373,0.91583,0.11326,0.21595,0.02498,0.05460,0.13615,0.50689,0.27738,1.00000
132.00000,6.27778,0.00332,0.00662,0.50123,0.82384,0.00000,0.00098,0.05851,0.07965,0.86087,0.00000
133.00000,1.81250,0.00257,0.00604,0.42538,0.78871,0.00000,0.00323,0.08244,0.20097,0.71336,0.00000
134.00000,0.27143,0.00224,0.00433,0.51805,0.80538,0.00000,0.00000,0.03233,0.29549,0.67218,0.00000
